Description:
Note:\Note
Interval:5min
Start date: 2:29:54, 29 Sep 2020
time[s],temp,L1_680,L1_720,L2_680,L2_720,L3_680,L3_720,L4_680,L4_720,L5_680,L05_720,L6_680,L6_720,L7_680,L7_720,L8_680,L8_720
0,37.914,0.039,0.001,0.016,0,0.02,0,0.026,0,0.037,0,0.035,0,0.023,0,0.459,0.267,
300,38.112,0.035,0,0.014,0,0.018,0,0.025,0,0.035,0,0.034,0,0.022,0,0.458,0.265,
600,37.959,0.034,0,0.013,0,0.017,0,0.024,0,0.035,0,0.033,0,0.021,0,0.468,0.275,
900,38.018,0.034,0,0.013,0,0.018,0,0.024,0,0.035,0,0.033,0,0.021,0,0.471,0.277,
1200,37.947,0.034,0,0.012,0,0.017,0,0.024,0,0.035,0,0.032,0,0.021,0,0.479,0.282,
1500,37.959,0.034,0,0.013,0,0.017,0,0.024,0,0.035,0,0.033,0,0.021,0,0.493,0.299,
1800,38.036,0.034,0,0.012,0,0.018,0,0.024,0,0.035,0,0.033,0,0.021,0,0.493,0.298,
2100,37.998,0.034,0,0.013,0,0.017,0,0.024,0,0.035,0,0.033,0,0.021,0,0.492,0.296,
2400,37.959,0.034,0,0.012,0,0.017,0,0.024,0,0.035,0,0.033,0,0.021,0,0.499,0.305,
2700,38.019,0.034,0,0.012,0,0.017,0,0.024,0,0.034,0,0.032,0,0.021,0,0.492,0.298,
3000,38.109,0.033,0,0.012,0,0.017,0,0.023,0,0.034,0,0.032,0,0.021,0,0.504,0.308,
3300,38.052,0.033,0,0.013,0,0.017,0,0.023,0,0.035,0,0.032,0,0.021,0,0.51,0.315,
3600,38.01,0.033,0,0.013,0,0.017,0,0.024,0,0.035,0,0.032,0,0.021,0,0.505,0.312,
3900,38.03,0.033,0,0.012,0,0.017,0,0.024,0,0.034,0,0.032,0,0.021,0,0.507,0.311,
4200,37.969,0.033,0,0.012,0,0.017,0,0.024,0,0.034,0,0.032,0,0.021,0,0.513,0.32,
4500,37.972,0.033,0,0.013,0,0.017,0,0.024,0,0.034,0,0.032,0,0.021,0,0.519,0.325,
4800,38.029,0.033,0,0.013,0,0.017,0,0.024,0,0.034,0,0.047,0.007,0.021,0,0.524,0.327,
5100,37.978,0.032,0,0.012,0,0.017,0,0.023,0,0.034,0,0.05,0.007,0.021,0,0.52,0.323,
5400,37.95,0.033,0,0.012,0,0.017,0,0.024,0,0.034,0,0.05,0.007,0.021,0,0.527,0.332,
5700,38.069,0.032,0,0.012,0,0.017,0,0.023,0,0.033,0,0.05,0.008,0.021,0,0.524,0.325,
6000,38.001,0.032,0,0.012,0,0.017,0,0.023,0,0.034,0,0.049,0.008,0.021,0,0.537,0.341,
6301,38.003,0.032,0,0.012,0,0.017,0,0.023,0,0.034,0,0.049,0.01,0.021,0,0.528,0.328,
6601,38.01,0.032,0,0.012,0,0.017,0,0.023,0,0.033,0,0.032,0,0.02,0,0.536,0.338,
6901,38.05,0.031,0,0.012,0,0.017,0,0.023,0,0.033,0,0.032,0,0.02,0,0.538,0.337,
7201,37.925,0.032,0,0.012,0,0.017,0,0.024,0,0.034,0,0.033,0,0.021,0,0.541,0.342,
7501,38.021,0.031,0,0.012,0,0.017,0,0.023,0,0.033,0,0.032,0,0.021,0,0.547,0.344,
7801,38.049,0.031,0,0.012,0,0.017,0,0.023,0,0.033,0,0.032,0,0.021,0,0.54,0.339,
8101,37.952,0.031,0,0.012,0,0.017,0,0.023,0,0.033,0,0.032,0,0.02,0,0.552,0.348,
8401,37.927,0.03,0,0.012,0,0.017,0,0.023,0,0.032,0,0.032,0,0.02,0,0.559,0.35,
8701,38.069,0.03,0,0.012,0,0.017,0,0.023,0,0.033,0,0.032,0,0.021,0,0.56,0.349,
9001,38.001,0.03,0,0.012,0,0.017,0,0.023,0,0.033,0,0.032,0,0.021,0,0.563,0.352,
9301,37.956,0.03,0,0.012,0,0.017,0,0.023,0,0.033,0,0.032,0,0.021,0,0.58,0.367,
9601,38.007,0.03,0,0.013,0,0.017,0,0.023,0,0.032,0,0.032,0,0.021,0,0.582,0.367,
9901,38.094,0.029,0,0.012,0,0.017,0,0.023,0,0.032,0,0.032,0,0.02,0,0.593,0.371,
10201,37.999,0.029,0,0.012,0,0.017,0,0.023,0,0.032,0,0.032,0,0.021,0,0.593,0.375,
10501,37.943,0.029,0,0.013,0,0.017,0,0.023,0,0.032,0,0.032,0,0.021,0,0.606,0.385,
10801,38.003,0.029,0,0.013,0,0.017,0,0.023,0,0.032,0,0.032,0,0.021,0,0.609,0.384,
11101,38.074,0.028,0,0.012,0,0.017,0,0.023,0,0.032,0,0.032,0,0.02,0,0.614,0.391,
11401,37.939,0.029,0,0.013,0,0.017,0,0.023,0,0.032,0,0.032,0,0.021,0,0.624,0.392,
11701,38.03,0.028,0,0.013,0,0.017,0,0.023,0,0.031,0,0.032,0,0.021,0,0.634,0.398,
12001,38.058,0.028,0,0.012,0,0.017,0,0.023,0,0.031,0,0.032,0,0.02,0,0.652,0.411,
12301,37.943,0.028,0,0.013,0,0.017,0,0.023,0,0.031,0,0.032,0,0.02,0,0.655,0.415,
12601,38.021,0.028,0,0.013,0,0.017,0,0.023,0,0.031,0,0.032,0,0.021,0,0.67,0.422,
12901,37.929,0.027,0,0.012,0,0.016,0,0.023,0,0.031,0,0.032,0,0.02,0,0.669,0.424,
13201,37.932,0.028,0,0.013,0,0.017,0,0.024,0,0.032,0,0.033,0,0.021,0,0.686,0.437,
13501,38.089,0.027,0,0.012,0,0.017,0,0.023,0,0.03,0,0.032,0,0.02,0,0.687,0.438,
13801,37.95,0.027,0,0.013,0,0.017,0,0.023,0,0.031,0,0.032,0,0.02,0,0.701,0.447,
14101,37.936,0.027,0,0.013,0,0.017,0,0.024,0,0.031,0,0.033,0,0.021,0,0.721,0.459,
14401,38.09,0.027,0,0.013,0,0.017,0,0.024,0,0.031,0,0.033,0,0.021,0,0.721,0.459,
14701,38.021,0.026,0,0.013,0,0.017,0,0.023,0,0.03,0,0.032,0,0.02,0,0.727,0.462,
15001,38.01,0.027,0,0.013,0,0.017,0,0.023,0,0.031,0,0.032,0,0.021,0,0.746,0.479,
15301,37.969,0.027,0,0.013,0,0.017,0,0.023,0,0.031,0,0.032,0,0.021,0,0.755,0.483,
15601,38.03,0.026,0,0.013,0,0.017,0,0.023,0,0.03,0,0.032,0,0.02,0,0.772,0.493,
15901,38.01,0.026,0,0.012,0,0.017,0,0.023,0,0.03,0,0.032,0,0.02,0,0.778,0.497,
16201,38.023,0.026,0,0.012,0,0.017,0,0.023,0,0.03,0,0.032,0,0.02,0,0.787,0.502,
16501,38.056,0.026,0,0.013,0,0.017,0,0.023,0,0.03,0,0.032,0,0.021,0,0.799,0.509,
16801,38.094,0.026,0,0.013,0,0.017,0,0.023,0,0.03,0,0.032,0,0.021,0,0.813,0.517,
17101,37.945,0.026,0,0.012,0,0.016,0,0.023,0,0.03,0,0.032,0,0.02,0,0.83,0.529,
17401,38.034,0.026,0,0.013,0,0.017,0,0.023,0,0.029,0,0.032,0,0.02,0,0.833,0.528,
17701,38.043,0.026,0,0.012,0,0.017,0,0.023,0,0.029,0,0.032,0,0.02,0,0.845,0.536,
18001,37.976,0.026,0,0.012,0,0.017,0,0.023,0,0.029,0,0.032,0,0.02,0,0.864,0.551,
18301,37.934,0.026,0,0.013,0,0.017,0,0.023,0,0.029,0,0.032,0,0.021,0,0.869,0.549,
18601,38.038,0.026,0,0.013,0,0.017,0,0.023,0,0.029,0,0.032,0,0.021,0,0.878,0.553,
18901,37.999,0.026,0,0.012,0,0.017,0,0.023,0,0.029,0,0.032,0,0.02,0,0.892,0.562,
19201,38.025,0.026,0,0.013,0,0.017,0,0.023,0,0.029,0,0.032,0,0.02,0,0.917,0.581,
19501,38.047,0.026,0,0.013,0,0.017,0,0.023,0,0.029,0,0.032,0,0.02,0,0.915,0.575,
19801,38.067,0.026,0,0.013,0,0.017,0,0.023,0,0.029,0,0.032,0,0.02,0,0.939,0.593,
20101,37.979,0.026,0,0.012,0,0.017,0,0.023,0,0.029,0,0.032,0,0.02,0,0.955,0.604,
20401,38.025,0.026,0,0.013,0,0.017,0,0.023,0,0.029,0,0.032,0,0.021,0,0.961,0.605,
